hanzi;pinyin;meaning;hsk_level
不择手段;bùzéshǒuduàn;Use unscrupulous divisive tactics;6
不止;bùzhǐ;more than;6
;;;6
布告;bùgào;Notice;6
布局;bùjú;"distribution; layout";6
布置;bùzhì;Arrangement;6
步伐;bùfá;pace;6
部署;bùshǔ;deploy;6
部位;bùwèi;"part; section";6
才干;cáigàn;Talent;6
财富;cáifù;wealth;6
财务;cáiwù;financial affairs;6
财政;cáizhèng;finance;6
裁缝;cáifeng;Tailor;6
裁判;cáipàn;Referee;6
裁员;cáiyuán;Layoffs;6
采购;cǎigòu;Purchase;6
采集;cǎijí;"gather; collect";6
采纳;cǎinà;accept;6
彩票;cǎipiào;lottery;6
参谋;cānmóu;Staff officer;6
参照;cānzhào;refer to;6
残疾;cánjí;A disability;6
残酷;cánkù;cruel;6
残留;cánliú;Residual;6
残忍;cánrěn;brutal;6
灿烂;cànlàn;splendid;6
舱;cāng;cabin;6
苍白;cāngbái;pale;6
仓促;cāngcù;Hasty;6
仓库;cāngkù;Warehouse;6
操劳;cāoláo;work hard;6
操练;cāoliàn;"drill; practice";6
操纵;cāozòng;control;6
操作;cāozuò;operation;6
嘈杂;cáozá;noisy;6
草案;cǎo'àn;draft;6
草率;cǎoshuài;"cursory; jerry";6
策划;cèhuà;"plan; hatch; plot";6
策略;cèlüè;"tactic; policy";6
测量;cèliáng;measure;6
侧面;cèmiàn;"side; flank";6
层出不穷;céngchūbùqióng;emerge in endlessly;6
层次;céngcì;"gradation; arrangement";6
插座;chāzuò;socket;6
差别;chābié;difference;6
;;;
查获;cháhuò;"hunt down and seize; ferret out";6
岔;chà;"turn off; fork";6
刹那;chànà;Instant;6
诧异;chàyì;astonished;6
柴油;cháiyóu;diesel oil;6
搀;chān;"mix; mingle";6
馋;chán;Greedy;6
缠绕;chánrào;twine;6
产业;chǎnyè;industry;6
阐述;chǎnshù;"expatiate; expound";6
颤抖;chàndǒu;Tremble;6
昌盛;chāngshèng;Prosperity;6
尝试;chángshì;attempt;6
偿还;chánghuán;repay;6
场合;chǎnghé;occasion;6
场面;chǎngmiàn;scene;6
场所;chǎngsuǒ;place;6
敞开;chǎngkāi;Open wide;6
倡导;chàngdǎo;Advocate;6
倡议;chàngyì;Initiative;6
畅通;chàngtōng;"unimpeded; unblocked";6
畅销;chàngxiāo;sell well;6
超越;chāoyuè;Transcend;6
钞票;chāopiào;Bank note;6
朝代;cháodài;Dynasty;6
潮流;cháoliú;Trend;6
嘲笑;cháoxiào;Ridicule;6
巢穴;cháoxué;nest;6
撤退;chètuì;haul off;6
撤销;chèxiāo;"repeal; retract";6
沉淀;chéndiàn;subside;6
沉闷;chénmèn;"oppressive; withdrawn";6
沉思;chénsī;Meditation;6
沉重;chénzhòng;heavy;6
沉着;chénzhuó;"composed; cool headed";6
陈旧;chénjiù;obsolete;6
陈列;chénliè;display;6
陈述;chénshù;"present; state; mention";6
衬托;chèntuō;set off;6
称心如意;chènxīnrúyì;As one wishes;6
称号;chēnghào;Title;6
盛;chéng;fill;6
橙;chéng;orange;6
;;;
乘;chéng;ride;6
承办;chéngbàn;Undertake;6
承包;chéngbāo;Contract;6
承诺;chéngnuò;Promise;6
城堡;chéngbǎo;Castle;6
成本;chéngběn;cost;6
成交;chéngjiāo;Deal;6
成天;chéngtiān;All day long;6
成效;chéngxiào;Results, effects;6
成心;chéngxīn;on purpose;6
成员;chéngyuán;member;6
惩罚;chéngfá;punish;6
诚挚;chéngzhì;"sincere; cordial; earnest";6
澄清;chéngqīng;clarify;6
呈现;chéngxiàn;Present;6
秤;chèng;balance;6
吃苦;chīkǔ;Hardship;6
吃力;chīlì;Sweaty;6
迟钝;chídùn;bluntness;6
迟缓;chíhuǎn;"tardy; sluggish";6
迟疑;chíyí;Hesitation;6
持久;chíjiǔ;Lasting;6
赤道;chìdào;equator;6
赤字;chìzì;"deficit; red ink";6
冲动;chōngdòng;impulse;6
冲击;chōngjī;To attack;6
冲突;chōngtū;conflict;6
充当;chōngdāng;"act as; serve as";6
充沛;chōngpèi;Abundant;6
充实;chōngshí;Enrich;6
充足;chōngzú;adequate;6
崇拜;chóngbài;worship;6
崇高;chónggāo;lofty;6
崇敬;chóngjìng;"respect; revere";6
重叠;chóngdié;overlap;6
筹备;chóubèi;"arrange; prepare";6
稠密;chóumì;"thick; dense";6
丑恶;chǒu'è;"ugly; filthy";6
出路;chūlù;way out;6
出卖;chūmài;sell;6
出身;chūshēn;Birth;6
出神;chūshén;Trance;6
出息;chūxi;Good;6
;;;
初步;chūbù;preliminary;6
除;chú;except;6
储备;chǔbèi;store;6
储存;chǔcún;Storage;6
储蓄;chǔxù;"save up; bank";6
处分;chǔfèn;prescription;6
处境;chǔjìng;"plight; situation";6
处置;chǔzhì;"treat; dispose";6
触犯;chùfàn;"offend; violate";6
穿越;chuānyuè;Pass through;6
川流不息;chuānliúbùxī;flowing up in an endless stream;6
船舶;chuánbó;"watercraft; ships";6
传达;chuándá;Convey;6
传单;chuándān;"fly sheet; leaflet";6
传授;chuánshòu;"initiate; teach";6
喘气;chuǎnqì;Panting;6
串;chuàn;strand, cluster;6
床单;chuángdān;Sheet;6
创立;chuànglì;Found;6
创新;chuàngxīn;innovate;6
创业;chuàngyè;carve out;6
创作;chuàngzuò;A literary creation;6
吹牛;chuīniú;"brag; boast";6
吹捧;chuīpěng;"flatter; puff";6
炊烟;chuīyān;cooking smoke;6
锤;chuí;hammer;6
垂直;chuízhí;vertical;6
纯粹;chúncuì;pure;6
纯洁;chúnjié;pure;6
磁带;cídài;Magnetic tape;6
慈祥;cíxiáng;Kindly;6
慈善;císhàn;charity;6
雌雄;cíxióng;male and female;6
刺;cì;thorn;6
次品;cìpǐn;defective goods;6
次序;cìxù;"order; sequence";6
伺候;cìhou;Wait;6
丛;cóng;cluster;6
从容;cóngróng;"take one's time; calm and unhurried";6
凑合;còuhuo;gather together;6
粗鲁;cūlǔ;rude;6
窜;cuàn;Channeling;6
摧残;cuīcán;"devastate; wreck";6
;;;6
脆弱;cuìruò;fragile;6
搓;cuō;Rub;6
磋商;cuōshāng;negotiate;6
挫折;cuòzhé;frustration;6
搭;dā;to match, to take;6
搭档;dādàng;partner;6
搭配;dāpèi;"arrange; match";6
答辩;dábiàn;"reply; answer";6
答复;dáfù;Reply;6
达成;dáchéng;Reach;6
打包;dǎbāo;Pack;6
打官司;dǎguānsi;To engage in a lawsuit;6
打击;dǎjī;strike;6
打架;dǎjià;Fight;6
打量;dǎliang;look sb. up and down;6
打猎;dǎliè;Go hunting;6
打仗;dǎzhàng;To war;6
大不了;dàbuliǎo;Big deal;6
大臣;dàchén;Minister;6
大伙儿;dàhuǒr;"you all; everybody";6
大肆;dàsì;Wantonly;6
大体;dàtǐ;general;6
大意;dàyi;Careless;6
大致;dàzhì;roughly;6
歹徒;dǎitú;"gangster; mobster";6
带领;dàilǐng;lead;6
代价;dàijià;cost;6
代理;dàilǐ;agent;6
逮捕;dàibǔ;Arrest;6
怠慢;dàimàn;cold-shoulder;6
担保;dānbǎo;"assure; hypothecate";6
胆怯;dǎnqiè;coward, fear;6
淡季;dànjì;Low Season;6
淡水;dànshuǐ;fresh water;6
蛋白质;dànbáizhì;Protein;6
诞辰;dànchén;Birthday;6
诞生;dànshēng;Be born;6
当场;dāngchǎng;On the spot;6
当初;dāngchū;Original;6
当代;dāngdài;Contemporary;6
当面;dāngmiàn;Face to face;6
当前;dāngqián;current;6
当事人;dāngshìrén;client;6
;;;
当务之急;dāngwùzhījí;A pressing matter of the moment;6
当选;dāngxuǎn;"be elected; come in";6
党;dǎng;party;6
档案;dàng'àn;archives;6
档次;dàngcì;grade;6
倒闭;dǎobì;Collapse;6
导弹;dǎodàn;Missile;6
导航;dǎoháng;navigate;6
导向;dǎoxiàng;guide;6
捣乱;dǎoluàn;Trouble;6
稻谷;dàogǔ;Unhusked rice;6
盗窃;dàoqiè;"steal; pilfer";6
得不偿失;débùchángshī;"be not worth the candle; get more kicks than halfpence";6
得力;délì;right-hand;6
得天独厚;détiāndúhòu;Be richly endowed by nature;6
得罪;dézuì;Offend;6
蹬;dēng;thrust;6
灯笼;dēnglong;lantern;6
登陆;dēnglù;"disembark; land";6
登录;dēnglù;Sign in;6
等候;děnghòu;Wait;6
等级;děngjí;"grade; rank";6
瞪;dèng;Stare;6
堤坝;dībà;Dam;6
敌视;díshì;"be hostile to; antagonize";6
抵达;dǐdá;Arrive;6
抵抗;dǐkàng;resistance;6
抵制;dǐzhì;"resist; reject; repel";6
递增;dìzēng;Increasing;6
地步;dìbù;"condition; plight; situation; state; extent";6
地势;dìshì;Terrain;6
地质;dìzhì;geology;6
颠簸;diānbǒ;"bump; welter";6
颠倒;diāndǎo;Upside down;6
点缀;diǎnzhuì;Embellishment;6
典礼;diǎnlǐ;Ceremony;6
典型;diǎnxíng;typical;6
垫;diàn;pad;6
电源;diànyuán;power supply;6
奠定;diàndìng;Establish;6
惦记;diànjì;Miss;6
叼;diāo;hold in mouth;6
;;;
雕刻;diāokè;carving;6
雕塑;diāosù;Sculpture;6
吊;diào;crane;6
调动;diàodòng;transfer;6
跌;diē;fall;6
丁;dīng;;6
盯;dīng;stare at;6
叮嘱;dīngzhǔ;"urge again and again; exhort; warn";6
定期;dìngqī;regular;6
定义;dìngyì;Definition;6
丢人;diūrén;lose face;6
丢三落四;diūsānlàsì;Miss or lose this and that;6
东道主;dōngdàozhǔ;Host;6
东张西望;dōngzhāngxīwàng;Look around;6
董事长;dǒngshìzhǎng;Chairman;6
栋;dòng;Building (measure word);6
冻结;dòngjié;Frozen;6
动荡;dòngdàng;turbulence;6
动机;dòngjī;motivation;6
动静;dòngjing;Movement;6
动力;dònglì;power, motivation;6
动脉;dòngmài;artery;6
动身;dòngshēn;Leave;6
动手;dòngshǒu;DIY;6
动态;dòngtài;dynamic;6
动员;dòngyuán;mobilization;6
兜;dōu;Pocket;6
陡峭;dǒuqiào;Steep;6
斗争;dòuzhēng;Struggle;6
督促;dūcù;supervise and urge;6
独裁;dúcái;autocracy;6
毒品;dúpǐn;narcotics;6
赌博;dǔbó;gambling;6
堵塞;dǔsè;blocking;6
杜绝;dùjué;Stop， ban;6
端;duān;end;6
端午节;uānwǔjié;The Dragon Boat Festival;6
端正;duānzhèng;correct;6
短促;duǎncù;very brief;6
断定;duàndìng;"be sure; figure out";6
断绝;duànjué;"be sure; figure out";6
堆积;duījī;Accumulation;6
对策;duìcè;countermeasure;6
;;;
对称;duìchèn;symmetrical;6
对付;duìfu;deal with;6
对抗;duìkàng;Combat;6
对立;duìlì;Opposition;6
对联;duìlián;Antithetical couplet;6
对应;duìyìng;Corresponding;6
对照;duìzhào;"compare; collate";6
兑现;duìxiàn;Cash;6
队伍;duìwu;Ranks;6
顿时;dùnshí;Suddenly;6
多元化;duōyuánhuà;Diversification;6
哆嗦;duōsuo;Shiver;6
堕落;duòluò;Degenerate;6
额外;éwài;"extra; additional";6
恶心;ěxin;disgusting;6
恶化;èhuà;deteriorate;6
遏制;èzhì;contain;6
恩怨;ēnyuàn;Resentment;6
而已;éryǐ;Nothing more;6
二氧化碳;èryǎnghuàtàn;Carbon dioxide;6
发布;fābù;Release;6
发财;fācái;"make a fortune; make a pile";6
发呆;fādāi;In a daze;6
发动;fādòng;Launch;6
发觉;fājué;find;6
发射;fāshè;launch;6
发誓;fāshì;swear;6
发行;fāxíng;issue;6
发炎;fāyán;inflammation;6
发扬;fāyáng;carry forward;6
发育;fāyù;Development, growth;6
法人;fǎrén;juridical person;6
番;fān;Some;6
繁华;fánhuá;Bustling;6
繁忙;fánmáng;busy;6
繁体字;fántǐzì;the traditional Chinese character;6
繁殖;fánzhí;Reproduction;6
凡是;fánshì;All;6
反驳;fǎnbó;refute;6
反常;fǎncháng;abnormal;6
反感;fǎngǎn;Disgusted;6
反抗;fǎnkàng;Resistance;6
反馈;fǎnkuì;feedback;6
;;;
反面;fǎnmiàn;The other side;6
反射;fǎnshè;"echo; reflect";6
反思;fǎnsī;Reflect;6
反问;fǎnwèn;rhetorical question;6
反之;fǎnzhī;"on the contrary; whereas";6
范畴;fànchóu;category;6
泛滥;fànlàn;Flood;6
贩卖;fànmài;Trafficking;6
方位;fāngwèi;Position;6
方言;fāngyán;dialect;6
方圆;fāngyuán;circumference;6
方针;fāngzhēn;policy;6
防守;fángshǒu;Defense;6
防御;fángyù;defense;6
防止;fángzhǐ;Prevent;6
防治;fángzhì;Prevention and cure;6
访问;fǎngwèn;Visit;6
纺织;fǎngzhī;Spin;6
放大;fàngdà;enlarge;6
放射;fàngshè;radiation;6
非法;fēifǎ;illegal;6
飞禽走兽;fēiqínzǒushòu;Birds and animals;6
飞翔;fēixiáng;flight;6
飞跃;fēiyuè;leap;6
肥沃;féiwò;fertile;6
诽谤;fěibàng;"slander; defame";6
肺;fèi;lung;6
废除;fèichú;Abolish;6
废墟;fèixū;Ruins;6
废寝忘食;fèiqǐnwàngshí;forget all about sleeping and eating;6
沸腾;fèiténg;boiling;6
分辨;fēnbiàn;Distinguish;6
分寸;fēncùn;Sense of propriety;6
分红;fēnhóng;bonus;6
分解;fēnjiě;decompose;6
分裂;fēnliè;division;6
分泌;fēnmì;secretion;6
分明;fēnmíng;clear;6
分歧;fēnqí;divergence;6
分散;fēnsàn;Dispersed;6
吩咐;fēnfù;Tell;6
坟墓;fénmù;Grave;6
粉末;fěnmò;powder;6
;;;
粉色;fěnsè;Pink;6
粉碎;fěnsuì;smash;6
分量;fènliàng;Weight;6
愤怒;fènnù;anger;6
风暴;fēngbào;Storm;6
风度;fēngdù;Manner;6
风光;fēngguāng;Scenery;6
风气;fēngqì;atmosphere;6
风趣;fēngqù;Funny;6
风土人情;fēngtǔrénqíng;Local customs and practices;6
风味;fēngwèi;flavor;6
封闭;fēngbì;close;6
封建;fēngjiàn;Feudal;6
封锁;fēngsuǒ;blockade;6
丰满;fēngmǎn;Plump;6
丰盛;fēngshèng;"rich; sumptuous";6
丰收;fēngshōu;Have bumper harvest;6
锋利;fēnglì;sharp;6
逢;féng;"meet; come upon";6
奉献;fèngxiàn;dedicate;6
否决;fǒujué;"veto; reject; overrule";6
夫妇;fūfù;couple;6
夫人;fūrén;Madam;6
敷衍;fūyǎn;play at;6
幅度;fúdù;"range; extent";6
服从;fúcóng;Obey;6
服气;fúqì;Be convinced;6
符号;fúhào;Symbol;6
福利;fúlì;welfare;6
福气;fúqi;"good luck; felicity";6
俘虏;fúlǔ;captive;6
辐射;fúshè;radiation;6
腐败;fǔbài;corrupt;6
腐烂;fǔlàn;Decay;6
腐蚀;fǔshí;corrosion;6
腐朽;fǔxiǔ;Decadent;6
辅助;fǔzhù;auxiliary;6
抚养;fǔyǎng;Raise;6
抚摸;fǔmō;stroke;6
俯视;fǔshì;look down;6
富裕;fùyù;Affluent;6
副;fù;Vice-;6
负担;fùdān;burden;6
;;;
覆盖;fùgài;"overlay; cover with";6
附和;fùhè;"chime in with; come to heel";6
附件;fùjiàn;Enclosure;6
附属;fùshǔ;attach appertain;6
复活;fùhuó;Resurrection;6
复兴;fùxīng;Revival;6
腹泻;fùxiè;diarrhea;6
赋予;fùyǔ;give;6
改良;gǎiliáng;Improvement;6
盖章;gàizhāng;Seal;6
钙;gài;calcium;6
干旱;gānhàn;drought;6
干扰;gānrǎo;interfere;6
干涉;gānshè;interference;6
干预;gānyù;intervene;6
尴尬;gāngà;awkward;6
感慨;gǎnkǎi;Feeling;6
感染;gǎnrǎn;Infected;6
干劲;gànjìn;Drive;6
纲领;gānglǐng;Programme;6
港口;gǎngkǒu;Port;6
港湾;gǎngwān;Harbour;6
岗位;gǎngwèi;post;6
杠杆;gànggǎn;lever;6
高超;gāochāo;"outstanding; superb; excellent";6
高潮;gāocháo;climax;6
高峰;gāofēng;peak;6
高明;gāomíng;"brilliant; bright";6
高尚;gāoshàng;noble;6
高涨;gāozhǎng;Upsurge;6
稿件;gǎojiàn;manuscript;6
告辞;gàocí;Take leave;6
告诫;gàojiè;"warn; caution";6
割;gē;cut;6
搁;gē;Put aside;6
疙瘩;gēda;"lump; pimple";6
歌颂;gēsòng;Sing;6
鸽子;gēzi;Dove;6
隔阂;géhé;Estrangement;6
隔离;gélí;quarantine;6
格局;géjú;situation;6
格式;géshi;format;6
革命;gémìng;revolution;
;;;6
个体;gètǐ;individual;6
各抒己见;gèshūjǐjiàn;Each airs his own views;6
根深蒂固;gēnshēndìgù;"being deeply rooted; in grain";6
根源;gēnyuán;root;6
跟前;gēnqián;In front of;6
跟随;gēnsuí;follow;6
跟踪;gēnzōng;"run after; tail";6
耕地;gēngdì;Cultivated land;6
更新;gēngxīn;"renovate; renew";6
更正;gēngzhèng;correct;6
公安局;gōng'ānjú;Bureau of public security;6
公道;gōngdao;fair;6
公告;gōnggào;Notice;6
公关;gōngguān;public relations;6
公民;gōngmín;citizen;6
公然;gōngrán;"to the teeth; under one's nose";6
公认;gōngrèn;Accepted;6
公式;gōngshì;formula;6
公务;gōngwù;Official business;6
公正;gōngzhèng;fair;6
公证;gōngzhèng;Notarization;6
供不应求;gōngbúyìngqiú;Demand exceeds supply;6
供给;gōngjǐ;supply;6
工艺品;gōngyìpǐn;Arts and Crafts;6
宫殿;gōngdiàn;Palace;6
功劳;gōngláo;credit;6
功效;gōngxiào;Effect;6
攻击;gōngjī;attack;6
攻克;gōngkè;Conquer;6
恭敬;gōngjìng;"dutiful; respectful";6
巩固;gǒnggù;consolidate;6
共和国;gònghéguó;Republic;6
共计;gòngjì;"count up to; sum to";6
共鸣;gòngmíng;resonance;6
勾结;gōujié;Collusion;6
钩子;gōuzi;hook;6
构思;gòusī;Design;6
孤独;gūdú;lonely;6
孤立;gūlì;isolated;6
辜负;gūfù;Live up to;6
姑且;gūqiě;Tentatively;6
古董;gǔdǒng;antique;6
古怪;gǔguài;"cranky; wacky";6
;;;
股东;gǔdōng;stockholder;6
股份;gǔfèn;Shares;6
鼓动;gǔdòng;Agitation;6
骨干;gǔgàn;backbone;6
固然;gùrán;Of course;6
固体;gùtǐ;solid;6
固有;gùyǒu;Inherent;6
固执;gùzhi;stubborn;6
顾虑;gùlǜ;"misgive; misgiving";6
顾问;gùwèn;adviser;6
故乡;gùxiāng;Hometown;6
故障;gùzhàng;fault;6
雇佣;gùyōng;hire;6
拐杖;guǎizhàng;cane;6
关怀;guānhuái;Care;6
关照;guānzhào;Take care of;6
官方;guānfāng;by the government official;6
观光;guānguāng;Sightseeing;6
管辖;guǎnxiá;"dominate; rule";6
罐;guàn;pot;6
贯彻;guànchè;implement;6
灌溉;guàngài;irrigation;6
惯例;guànlì;convention;6
光彩;guāngcǎi;Brilliance;6
光辉;guānghuī;Glory;6
光芒;guāngmáng;Shine;6
光荣;guāngróng;glory;6
广阔;guǎngkuò;wide;6
规范;guīfàn;"criterion; rule";6
规格;guīgé;"standard; format";6
规划;guīhuà;Plan;6
规章;guīzhāng;Rules;6
归根到底;guīgēndàodǐ;at all time and place;6
归还;guīhuán;return;6
轨道;guǐdào;track;6
跪;guì;kneel;6
贵族;guìzú;noble;6
棍棒;gùnbàng;"club; cudgel";6
国防;guófáng;national defense;6
国务院;guówùyuàn;The State Council;6
果断;guǒduàn;decisive;6
过度;guòdù;excessive;6
过渡;guòdù;transition;6
;;;
过奖;guòjiǎng;you flatter;6
过滤;guòlǜ;filter;6
过失;guòshī;fault;6
过问;guòwèn;Ask;6
过瘾;guòyǐn;Fun;6
过于;guòyú;"too; excessively";6
嗨;hāi;hi;6
海拔;hǎibá;altitude;6
海滨;hǎibīn;Seaside;6
含糊;hánhu;vague;6
含义;hányì;"signification; meanings";6
寒暄;hánxuān;exchange of conventional greetings;6
罕见;hǎnjiàn;"peculiar; rare";6
捍卫;hànwèi;"defend; guard";6
航空;hángkōng;aviation;6
航天;hángtiān;Space flight;6
航行;hángxíng;Sail;6
行列;hángliè;Ranks;6
豪迈;háomài;Heroic;6
毫米;háomǐ;millimeter;6
毫无;háowú;nothing;6
号召;hàozhào;call;6
耗费;hàofèi;cost;6
呵;hē;Oh;6
和蔼;hé'ǎi;Kindly;6
和解;héjiě;compromise;6
和睦;hémù;harmony;6
和气;héqi;"kind; polite";6
和谐;héxié;Harmonious;6
合并;hébìng;merge;6
合成;héchéng;Synthesis;6
合伙;héhuǒ;"cooperate; join hands with";6
合算;hésuàn;Cost-effective;6
嘿;hēi;black;6
痕迹;hénjì;mark;6
狠心;hěnxīn;cruel hearted;6
恨不得;hènbude;Hate not;6
哼;hēng;Hum;6
横;héng;"harsh and unreasonable; perverse";6
哄;hōng;fool;6
烘;hōng;Bake;6
轰动;hōngdòng;"make a sensation; make a stir";6
宏观;hóngguān;Macroscopic;6
;;;
宏伟;hóngwěi;grand;6
洪水;hóngshuǐ;Flood;6
喉咙;hóulóng;throat;6
吼;hǒu;Roar;6
后代;hòudài;Offspring;6
后顾之忧;hòugùzhīyōu;"Any menace from the ""rear";6
后勤;hòuqín;logistics;6
候选;hòuxuǎn;candidate;6
忽略;hūlüè;ignore;6
呼唤;hūhuàn;call;6
呼啸;hūxiào;Whistling;6
呼吁;hūyù;"call on; appeal";6
胡乱;húluàn;Casually;6
胡须;húxū;beard;6
湖泊;húpō;lake;6
花瓣;huābàn;Petal;6
花蕾;huālěi;bud;6
华丽;huálì;design;6
华侨;huáqiáo;overseas Chinese;6
画蛇添足;huàshétiānzú;Superfluous;6
化肥;huàféi;chemical fertilizer;6
化石;huàshí;Fossil;6
化验;huàyàn;Test;6
化妆;huàzhuāng;"prink; make up";6
划分;huàfēn;Divide;6
话筒;huàtǒng;Microphone;6
欢乐;huānlè;Happy;6
还原;huányuán;reduction;6
环节;huánjié;link;6
缓和;huǎnhé;To moderate;6
患者;huànzhě;Patient;6
荒凉;huāngliáng;Desolate;6
荒谬;huāngmiù;"ridiculous; nonsensical";6
荒唐;huāngtáng;absurd;6
黄昏;huánghūn;Dusk;6
